"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 25 17:00:50 CST 2020","Mon May 25 17:00:56 CST 2020","6347","test_case","test_order","Test_Billings","","","test_prequalification_10",""
"passed","Mon May 25 17:10:14 CST 2020","Mon May 25 17:10:20 CST 2020","6696","test_case","test_order","Test_Billings","","","test_prequalification_97",""
"failed","Mon May 25 16:59:02 CST 2020","Mon May 25 16:59:08 CST 2020","5990","test_case","test_order","Test_Billings","","","test_prequalification_004",""
"passed","Mon May 25 17:08:22 CST 2020","Mon May 25 17:08:29 CST 2020","7393","test_case","test_order","Test_Billings","","","test_prequalification_82",""
"passed","Mon May 25 17:10:42 CST 2020","Mon May 25 17:10:49 CST 2020","6965","test_case","test_order","Test_Billings","","","test_prequalification_101",""
"passed","Mon May 25 16:57:12 CST 2020","Mon May 25 16:57:13 CST 2020","373","test_case","test_fee_01","Testfee","","","test_settlement",""
"passed","Mon May 25 17:10:35 CST 2020","Mon May 25 17:10:42 CST 2020","7015","test_case","test_order","Test_Billings","","","test_prequalification_100",""
"passed","Mon May 25 17:00:56 CST 2020","Mon May 25 17:01:03 CST 2020","6223","test_case","test_order","Test_Billings","","","test_prequalification_11",""
"passed","Mon May 25 17:06:39 CST 2020","Mon May 25 17:06:46 CST 2020","6378","test_case","test_order","Test_Billings","","","test_prequalification_68",""
"passed","Mon May 25 17:16:07 CST 2020","Mon May 25 17:16:15 CST 2020","7230","test_case","test_order","Test_Billings","","","test_prequalification_149",""
"passed","Mon May 25 17:19:18 CST 2020","Mon May 25 17:19:19 CST 2020","1303","test_case","test_order","Test_order_query","","","test_query_order_tbreviewed_09",""
"passed","Mon May 25 17:19:26 CST 2020","Mon May 25 17:19:30 CST 2020","3543","test_case","test_order","Test_order_query","","","test_query_order_15",""
"passed","Mon May 25 17:03:27 CST 2020","Mon May 25 17:03:32 CST 2020","5141","test_case","test_order","Test_Billings","","","test_prequalification_36",""
"passed","Mon May 25 17:05:33 CST 2020","Mon May 25 17:05:39 CST 2020","5866","test_case","test_order","Test_Billings","","","test_prequalification_57",""
"passed","Mon May 25 17:04:27 CST 2020","Mon May 25 17:04:33 CST 2020","5946","test_case","test_order","Test_Billings","","","test_prequalification_46",""
"passed","Mon May 25 17:04:03 CST 2020","Mon May 25 17:04:09 CST 2020","5939","test_case","test_order","Test_Billings","","","test_prequalification_42",""
"passed","Mon May 25 16:59:49 CST 2020","Mon May 25 16:59:55 CST 2020","5598","test_case","test_order","Test_Billings","","","test_prequalification_012",""
"passed","Mon May 25 17:05:27 CST 2020","Mon May 25 17:05:33 CST 2020","6222","test_case","test_order","Test_Billings","","","test_prequalification_56",""
"passed","Mon May 25 17:06:15 CST 2020","Mon May 25 17:06:20 CST 2020","5343","test_case","test_order","Test_Billings","","","test_prequalification_64",""
"passed","Mon May 25 17:19:47 CST 2020","Mon May 25 17:19:49 CST 2020","1494","test_case","test_order","Test_order_query","","","test_query_order_passprequal_27",""
"passed","Mon May 25 17:08:58 CST 2020","Mon May 25 17:09:06 CST 2020","7305","test_case","test_order","Test_Billings","","","test_prequalification_87",""
"passed","Mon May 25 16:57:13 CST 2020","Mon May 25 16:57:14 CST 2020","383","test_case","test_fee_01","Testfee","","","test_feeiten",""
"passed","Mon May 25 17:19:21 CST 2020","Mon May 25 17:19:22 CST 2020","1468","test_case","test_order","Test_order_query","","","test_query_order_modifycustomer_11",""
"passed","Mon May 25 17:06:20 CST 2020","Mon May 25 17:06:26 CST 2020","6481","test_case","test_order","Test_Billings","","","test_prequalification_65",""
"passed","Mon May 25 17:11:59 CST 2020","Mon May 25 17:12:05 CST 2020","6078","test_case","test_order","Test_Billings","","","test_prequalification_112",""
"passed","Mon May 25 17:18:11 CST 2020","Mon May 25 17:18:17 CST 2020","5986","test_case","test_order","Test_Billings","","","test_prequalification_167",""
"passed","Mon May 25 17:18:04 CST 2020","Mon May 25 17:18:11 CST 2020","6246","test_case","test_order","Test_Billings","","","test_prequalification_166",""
"passed","Mon May 25 17:13:11 CST 2020","Mon May 25 17:13:17 CST 2020","6130","test_case","test_order","Test_Billings","","","test_prequalification_123",""
"passed","Mon May 25 17:19:11 CST 2020","Mon May 25 17:19:13 CST 2020","1298","test_case","test_order","Test_order_query","","","test_query_order_customeraut_04",""
"passed","Mon May 25 17:03:17 CST 2020","Mon May 25 17:03:22 CST 2020","5186","test_case","test_order","Test_Billings","","","test_prequalification_34",""
"passed","Mon May 25 17:10:28 CST 2020","Mon May 25 17:10:35 CST 2020","7118","test_case","test_order","Test_Billings","","","test_prequalification_99",""
"passed","Mon May 25 17:18:55 CST 2020","Mon May 25 17:18:58 CST 2020","3067","test_case","test_order","Test_order_query","","","test_query_order_tbpaid",""
"passed","Mon May 25 17:19:03 CST 2020","Mon May 25 17:19:06 CST 2020","3147","test_case","test_order","Test_order_query","","","test_query_order_01",""
"passed","Mon May 25 17:17:17 CST 2020","Mon May 25 17:17:24 CST 2020","6850","test_case","test_order","Test_Billings","","","test_prequalification_159",""
"passed","Mon May 25 16:57:13 CST 2020","Mon May 25 16:57:13 CST 2020","494","test_case","test_fee_01","Testfee","","","test_feeitem",""
"passed","Mon May 25 17:19:35 CST 2020","Mon May 25 17:19:36 CST 2020","1363","test_case","test_order","Test_order_query","","","test_query_order_customeraut_18",""
"passed","Mon May 25 17:01:25 CST 2020","Mon May 25 17:01:30 CST 2020","5217","test_case","test_order","Test_Billings","","","test_prequalification_16",""
"passed","Mon May 25 17:05:14 CST 2020","Mon May 25 17:05:21 CST 2020","6093","test_case","test_order","Test_Billings","","","test_prequalification_54",""
"passed","Mon May 25 17:15:11 CST 2020","Mon May 25 17:15:18 CST 2020","6944","test_case","test_order","Test_Billings","","","test_prequalification_141",""
"passed","Mon May 25 16:59:55 CST 2020","Mon May 25 17:00:01 CST 2020","5969","test_case","test_order","Test_Billings","","","test_prequalification_01",""
"passed","Mon May 25 17:01:19 CST 2020","Mon May 25 17:01:25 CST 2020","5157","test_case","test_order","Test_Billings","","","test_prequalification_15",""
"passed","Mon May 25 16:59:43 CST 2020","Mon May 25 16:59:49 CST 2020","5851","test_case","test_order","Test_Billings","","","test_prequalification_011",""
"passed","Mon May 25 17:00:13 CST 2020","Mon May 25 17:00:19 CST 2020","6049","test_case","test_order","Test_Billings","","","test_prequalification_04",""
"passed","Mon May 25 17:14:03 CST 2020","Mon May 25 17:14:09 CST 2020","6820","test_case","test_order","Test_Billings","","","test_prequalification_131",""
"passed","Mon May 25 16:57:23 CST 2020","Mon May 25 16:57:32 CST 2020","9351","test_case","test_fee_01","Testfee","","","test_add_bond_02",""
"passed","Mon May 25 17:19:41 CST 2020","Mon May 25 17:19:42 CST 2020","1520","test_case","test_order","Test_order_query","","","test_query_order_returned_22",""
"passed","Mon May 25 17:04:33 CST 2020","Mon May 25 17:04:39 CST 2020","6036","test_case","test_order","Test_Billings","","","test_prequalification_47",""
